Macros,Netlist,HPWL
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101)]","[(0, 38), (1, 44), (2, 53), (3, 25), (4, 48), (5, 18), (6, 45), (7, 46), (8, 24), (9, 54), (10, 15), (11, 12), (13, 52), (14, 32), (16, 57), (17, 27), (19, 49), (20, 51), (21, 55), (22, 42), (23, 26), (28, 39), (29, 30), (31, 47), (33, 56), (34, 50), (35, 41), (36, 40), (37, 43)]",42019.178538533466
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134)]","[(0, 17), (1, 12), (2, 31), (3, 5), (4, 16), (6, 7), (8, 19), (9, 35), (10, 14), (11, 22), (13, 29), (15, 32), (18, 23), (20, 24), (21, 26), (25, 28), (27, 33), (30, 34)]",13991.320726641361
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131)]","[(0, 34), (1, 29), (2, 30), (3, 28), (4, 7), (5, 39), (6, 21), (8, 20), (9, 47), (10, 33), (11, 23), (12, 51), (13, 17), (14, 27), (15, 26), (16, 37), (18, 38), (19, 22), (24, 32), (25, 31), (35, 45), (36, 48), (40, 44), (41, 46), (42, 49), (43, 50)]",34698.95939092078
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71)]","[(0, 28), (1, 22), (2, 32), (3, 44), (4, 12), (5, 27), (6, 10), (7, 39), (8, 15), (9, 41), (11, 36), (13, 17), (14, 26), (16, 18), (19, 46), (20, 21), (23, 29), (24, 40), (25, 43), (30, 33), (31, 37), (34, 38), (35, 45), (42, 47)]",28108.962358514327
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137)]","[(0, 38), (1, 23), (2, 43), (3, 8), (4, 5), (6, 40), (7, 51), (9, 45), (10, 42), (11, 26), (12, 37), (13, 22), (14, 21), (15, 50), (16, 24), (17, 20), (18, 27), (19, 46), (25, 35), (28, 47), (29, 48), (30, 44), (31, 41), (32, 34), (33, 36), (39, 49), (52, 53)]",33912.201690099966
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130)]","[(0, 31), (1, 20), (2, 5), (3, 25), (4, 7), (6, 27), (8, 23), (9, 14), (10, 26), (11, 24), (12, 16), (13, 21), (15, 19), (17, 28), (18, 29), (22, 30)]",13337.652110328107
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60)]","[(0, 12), (1, 13), (2, 26), (3, 22), (4, 33), (5, 36), (6, 18), (7, 15), (8, 21), (9, 10), (11, 24), (14, 19), (16, 35), (17, 25), (20, 32), (23, 31), (27, 37), (28, 30), (29, 34)]",14624.871454940036
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77)]","[(0, 11), (1, 10), (2, 21), (3, 13), (4, 12), (5, 14), (6, 20), (7, 15), (8, 19), (9, 16), (17, 18)]",5606.510615368141
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 27), (1, 16), (2, 35), (3, 5), (4, 22), (6, 42), (7, 20), (8, 43), (9, 28), (10, 40), (11, 39), (12, 19), (13, 38), (14, 31), (15, 18), (17, 23), (21, 32), (24, 30), (25, 34), (26, 36), (29, 37), (33, 41), (44, 45)]",25316.62309816587
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61)]","[(0, 1), (2, 7), (3, 14), (4, 15), (5, 9), (6, 17), (8, 19), (10, 23), (11, 13), (12, 16), (18, 20), (21, 22)]",8433.301999919766
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101)]","[(0, 40), (1, 34), (2, 42), (3, 19), (4, 10), (5, 41), (6, 16), (7, 49), (8, 28), (9, 35), (11, 48), (12, 17), (13, 54), (14, 30), (15, 31), (18, 29), (20, 26), (21, 25), (22, 23), (24, 38), (27, 56), (32, 33), (36, 44), (37, 46), (39, 57), (43, 52), (45, 51), (47, 55), (50, 53)]",44038.27751065992
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133)]","[(0, 57), (1, 34), (2, 44), (3, 36), (4, 13), (5, 6), (7, 17), (8, 60), (9, 22), (10, 31), (11, 37), (12, 51), (14, 27), (15, 42), (16, 55), (18, 35), (19, 46), (20, 49), (21, 59), (23, 33), (24, 56), (25, 45), (26, 52), (28, 48), (29, 40), (30, 38), (32, 53), (39, 43), (41, 50), (47, 54), (58, 61)]",54440.890637987606
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122)]","[(0, 37), (1, 50), (2, 33), (3, 23), (4, 42), (5, 32), (6, 12), (7, 45), (8, 44), (9, 27), (10, 36), (11, 29), (13, 59), (14, 15), (16, 39), (17, 52), (18, 58), (19, 41), (20, 38), (21, 31), (22, 34), (24, 35), (25, 49), (26, 57), (28, 46), (30, 53), (40, 47), (43, 55), (48, 56), (51, 54)]",40607.198067710095
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130)]","[(0, 31), (1, 13), (2, 26), (3, 29), (4, 15), (5, 8), (6, 24), (7, 17), (9, 20), (10, 16), (11, 18), (12, 21), (14, 23), (19, 25), (22, 30), (27, 28)]",13375.735971872678
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 1), (2, 21), (3, 35), (4, 5), (6, 8), (7, 33), (9, 13), (10, 42), (11, 24), (12, 22), (14, 40), (15, 17), (16, 25), (18, 31), (19, 28), (20, 36), (23, 44), (26, 43), (27, 38), (29, 41), (30, 45), (32, 34), (37, 39)]",28029.73243698096
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108)]","[(0, 37), (1, 50), (2, 8), (3, 33), (4, 62), (5, 58), (6, 43), (7, 29), (9, 22), (10, 26), (11, 19), (12, 20), (13, 53), (14, 44), (15, 46), (16, 36), (17, 56), (18, 32), (21, 42), (23, 27), (24, 52), (25, 35), (28, 38), (30, 54), (31, 49), (34, 57), (39, 63), (40, 45), (41, 60), (47, 61), (48, 55), (51, 59)]",54883.46424217088
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77)]","[(0, 8), (1, 10), (2, 5), (3, 12), (4, 9), (6, 13), (7, 14), (11, 17), (15, 19), (16, 18), (20, 21)]",5798.881129690453
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 38), (1, 18), (2, 19), (3, 16), (4, 23), (5, 22), (6, 14), (7, 20), (8, 29), (9, 11), (10, 28), (12, 32), (13, 44), (15, 21), (17, 25), (24, 30), (26, 41), (27, 35), (31, 34), (33, 37), (36, 39), (40, 43), (42, 45)]",22459.881993569492
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71)]","[(0, 17), (1, 30), (2, 24), (3, 47), (4, 18), (5, 43), (6, 28), (7, 14), (8, 26), (9, 13), (10, 45), (11, 46), (12, 19), (15, 25), (16, 21), (20, 34), (22, 44), (23, 39), (27, 29), (31, 37), (32, 41), (33, 40), (35, 42), (36, 38)]",26858.675823801244
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108), (68, 83), (67, 81)]","[(0, 37), (1, 19), (2, 14), (3, 54), (4, 62), (5, 35), (6, 60), (7, 49), (8, 53), (9, 31), (10, 57), (11, 52), (12, 27), (13, 41), (15, 55), (16, 21), (17, 45), (18, 64), (20, 40), (22, 39), (23, 44), (24, 48), (25, 42), (26, 30), (28, 46), (29, 38), (32, 33), (34, 36), (43, 65), (47, 63), (50, 56), (51, 61), (58, 59)]",51677.28847621505
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101)]","[(0, 18), (1, 19), (2, 20), (3, 41), (4, 48), (5, 6), (7, 12), (8, 49), (9, 51), (10, 57), (11, 35), (13, 42), (14, 56), (15, 21), (16, 33), (17, 26), (22, 43), (23, 40), (24, 32), (25, 36), (27, 45), (28, 37), (29, 53), (30, 39), (31, 34), (38, 47), (44, 50), (46, 52), (54, 55)]",42532.014382500136
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133)]","[(0, 56), (1, 19), (2, 37), (3, 48), (4, 8), (5, 51), (6, 46), (7, 38), (9, 35), (10, 15), (11, 31), (12, 34), (13, 30), (14, 33), (16, 29), (17, 53), (18, 59), (20, 49), (21, 27), (22, 43), (23, 25), (24, 26), (28, 57), (32, 44), (36, 54), (39, 52), (40, 55), (41, 58), (42, 60), (45, 47), (50, 61)]",56386.02360368745
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104)]","[(0, 9), (1, 5), (2, 4), (3, 16), (6, 10), (7, 15), (8, 13), (11, 18), (12, 14), (17, 19)]",4437.028946348271
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70)]","[(0, 40), (1, 5), (2, 14), (3, 22), (4, 26), (6, 11), (7, 37), (8, 18), (9, 30), (10, 13), (12, 36), (15, 25), (16, 35), (17, 20), (19, 39), (21, 27), (23, 32), (24, 33), (28, 41), (29, 38), (31, 34)]",24454.60670496349
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61)]","[(0, 6), (1, 22), (2, 21), (3, 17), (4, 10), (5, 11), (7, 23), (8, 13), (9, 18), (12, 15), (14, 19), (16, 20)]",8638.349973332311
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94)]","[(0, 24), (1, 22), (2, 14), (3, 20), (4, 19), (5, 10), (6, 18), (7, 8), (9, 13), (11, 16), (12, 15), (17, 21), (23, 25)]",10433.23779658508
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94)]","[(0, 3), (1, 19), (2, 24), (4, 6), (5, 7), (8, 16), (9, 18), (10, 23), (11, 12), (13, 21), (14, 15), (17, 20), (22, 25)]",6827.546432525231
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61)]","[(0, 22), (1, 15), (2, 18), (3, 23), (4, 11), (5, 19), (6, 17), (7, 10), (8, 13), (9, 14), (12, 21), (16, 20)]",6196.0368056286
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94)]","[(0, 1), (2, 23), (3, 7), (4, 10), (5, 6), (8, 11), (9, 22), (12, 15), (13, 14), (16, 25), (17, 24), (18, 20), (19, 21)]",7978.470731611719
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108), (68, 83), (67, 81), (145, 121), (118, 83), (145, 124), (104, 124)]","[(0, 7), (1, 53), (2, 5), (3, 65), (4, 64), (6, 35), (8, 69), (9, 56), (10, 48), (11, 33), (12, 34), (13, 47), (14, 55), (15, 42), (16, 67), (17, 66), (18, 50), (19, 40), (20, 46), (21, 52), (22, 37), (23, 32), (24, 61), (25, 43), (26, 68), (27, 28), (29, 31), (30, 62), (36, 39), (38, 45), (41, 59), (44, 60), (49, 51), (54, 57), (58, 63)]",63881.20393722504
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108)]","[(0, 2), (1, 52), (3, 19), (4, 43), (5, 29), (6, 26), (7, 60), (8, 59), (9, 40), (10, 63), (11, 36), (12, 24), (13, 44), (14, 47), (15, 55), (16, 51), (17, 56), (18, 58), (20, 34), (21, 25), (22, 28), (23, 32), (27, 61), (30, 57), (31, 38), (33, 35), (37, 42), (39, 41), (45, 54), (46, 49), (48, 50), (53, 62)]",50438.4396548919
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57)]","[(0, 7), (1, 16), (2, 38), (3, 21), (4, 17), (5, 29), (6, 35), (8, 33), (9, 20), (10, 44), (11, 53), (12, 43), (13, 14), (15, 22), (18, 52), (19, 24), (23, 46), (25, 48), (26, 27), (28, 37), (30, 51), (31, 42), (32, 55), (34, 40), (36, 47), (39, 45), (41, 50), (49, 54)]",39090.846132609935
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137)]","[(0, 11), (1, 6), (2, 39), (3, 18), (4, 34), (5, 36), (7, 25), (8, 46), (9, 45), (10, 13), (12, 42), (14, 17), (15, 20), (16, 23), (19, 44), (21, 24), (22, 40), (26, 35), (27, 33), (28, 41), (29, 43), (30, 38), (31, 48), (32, 51), (37, 53), (47, 50), (49, 52)]",40764.89715574015
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104)]","[(0, 15), (1, 13), (2, 19), (3, 4), (5, 14), (6, 9), (7, 18), (8, 12), (10, 17), (11, 16)]",5107.458592242066
